Name,# of topics,# of docs,versatile_score
"Dornfeld, Catherine",6,6,1.00
"Polman, Joseph L.",9,10,0.90
"Shapiro, R. Benjamin",6,7,0.86
"Levy, Sharona",5,6,0.83
"Hakkarainen, Kai",5,6,0.83
"Rosé, Carolyn Penstein",9,11,0.82
"Lee, Victor R.",7,9,0.78
"Borge, Marcela",6,8,0.75
"Acosta, Alisa",5,7,0.71
"Wilensky, Uri",5,7,0.71
"Hovey, Christopher M",5,7,0.71
"Bang, Megan",5,7,0.71
"Hmelo-Silver, Cindy E.",5,7,0.71
"Chen, Bodong",5,7,0.71
"Fischer, Frank",9,13,0.69
"Basu, Satabdi",4,6,0.67
"Danish, Joshua A.",10,15,0.67
"Olsen, Jennifer K.",4,6,0.67
"Sayre, Eleanor C.",4,6,0.67
"Svihla, Vanessa",4,6,0.67